,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Qualifiers
103,ADSGn.DE,20151001,06:59:26.796,2,Auction,,72.7,7246,,,,,
104,ADSGn.DE,20151001,06:59:26.856,2,Auction,,72.7,7326,,,,,
105,ADSGn.DE,20151001,06:59:30.306,2,Auction,,72.7,7646,,,,,
106,ADSGn.DE,20151001,06:59:30.386,2,Auction,,72.7,7726,,,,,
107,ADSGn.DE,20151001,06:59:30.626,2,Auction,,72.7,7730,,,,,
108,ADSGn.DE,20151001,06:59:30.747,2,Auction,,72.7,7731,,,,,
109,ADSGn.DE,20151001,06:59:30.796,2,Auction,,72.7,8051,,,,,
110,ADSGn.DE,20151001,06:59:30.886,2,Auction,,72.7,8131,,,,,
111,ADSGn.DE,20151001,06:59:31.066,2,Auction,,72.7,8107,,,,,
112,ADSGn.DE,20151001,06:59:31.136,2,Auction,,72.7,8102,,,,,
113,ADSGn.DE,20151001,06:59:31.197,2,Auction,,72.7,8101,,,,,
114,ADSGn.DE,20151001,06:59:31.306,2,Auction,,72.7,8421,,,,,
115,ADSGn.DE,20151001,06:59:31.356,2,Auction,,72.7,8501,,,,,
116,ADSGn.DE,20151001,06:59:32.126,2,Auction,,72.7,8181,,,,,
117,ADSGn.DE,20151001,06:59:32.166,2,Auction,,72.7,8117,,,,,
118,ADSGn.DE,20151001,06:59:32.216,2,Auction,,72.7,8104,,,,,
119,ADSGn.DE,20151001,06:59:32.306,2,Auction,,72.7,8102,,,,,
120,ADSGn.DE,20151001,06:59:32.356,2,Auction,,72.7,8101,,,,,
121,ADSGn.DE,20151001,06:59:32.606,2,Auction,,72.7,8421,,,,,
122,ADSGn.DE,20151001,06:59:32.686,2,Auction,,72.7,8501,,,,,
123,ADSGn.DE,20151001,06:59:32.706,2,Auction,,72.7,8181,,,,,
124,ADSGn.DE,20151001,06:59:32.766,2,Auction,,72.7,8117,,,,,
125,ADSGn.DE,20151001,06:59:32.846,2,Auction,,72.7,8104,,,,,
126,ADSGn.DE,20151001,06:59:32.907,2,Auction,,72.7,8102,,,,,
127,ADSGn.DE,20151001,06:59:32.947,2,Auction,,72.7,8101,,,,,
128,ADSGn.DE,20151001,06:59:33.106,2,Auction,,72.7,8421,,,,,
129,ADSGn.DE,20151001,06:59:33.166,2,Auction,,72.7,8101,,,,,
130,ADSGn.DE,20151001,06:59:33.186,2,Auction,,72.7,8181,,,,,
131,ADSGn.DE,20151001,06:59:33.237,2,Auction,,72.7,8117,,,,,
132,ADSGn.DE,20151001,06:59:33.327,2,Auction,,72.7,8104,,,,,
133,ADSGn.DE,20151001,06:59:33.367,2,Auction,,72.7,8102,,,,,
134,ADSGn.DE,20151001,06:59:33.447,2,Auction,,72.7,8101,,,,,
135,ADSGn.DE,20151001,06:59:35.077,2,Auction,,72.7,8421,,,,,
136,ADSGn.DE,20151001,06:59:35.197,2,Auction,,72.7,8501,,,,,
137,ADSGn.DE,20151001,06:59:35.206,2,Auction,,72.7,8505,,,,,
138,ADSGn.DE,20151001,06:59:35.346,2,Auction,,72.7,8506,,,,,
139,ADSGn.DE,20151001,06:59:35.566,2,Auction,,72.7,8186,,,,,
140,ADSGn.DE,20151001,06:59:35.636,2,Auction,,72.7,8122,,,,,
141,ADSGn.DE,20151001,06:59:35.697,2,Auction,,72.7,8109,,,,,
142,ADSGn.DE,20151001,06:59:35.806,2,Auction,,72.7,8107,,,,,
143,ADSGn.DE,20151001,06:59:35.876,2,Auction,,72.7,8106,,,,,
144,ADSGn.DE,20151001,06:59:36.086,2,Auction,,72.7,8426,,,,,
145,ADSGn.DE,20151001,06:59:36.166,2,Auction,,72.7,8506,,,,,
146,ADSGn.DE,20151001,06:59:36.566,2,Auction,,72.7,8186,,,,,
147,ADSGn.DE,20151001,06:59:36.656,2,Auction,,72.7,8122,,,,,
148,ADSGn.DE,20151001,06:59:36.716,2,Auction,,72.7,8109,,,,,
149,ADSGn.DE,20151001,06:59:36.786,2,Auction,,72.7,8107,,,,,
150,ADSGn.DE,20151001,06:59:36.826,2,Auction,,72.7,8106,,,,,
151,ADSGn.DE,20151001,06:59:37.086,2,Auction,,72.7,8426,,,,,
152,ADSGn.DE,20151001,06:59:37.156,2,Auction,,72.7,8506,,,,,
153,ADSGn.DE,20151001,06:59:37.596,2,Auction,,72.7,8186,,,,,
154,ADSGn.DE,20151001,06:59:37.686,2,Auction,,72.7,8122,,,,,
155,ADSGn.DE,20151001,06:59:37.737,2,Auction,,72.7,8109,,,,,
156,ADSGn.DE,20151001,06:59:37.786,2,Auction,,72.7,8107,,,,,
157,ADSGn.DE,20151001,06:59:37.846,2,Auction,,72.7,8106,,,,,
158,ADSGn.DE,20151001,06:59:38.096,2,Auction,,72.7,8426,,,,,
159,ADSGn.DE,20151001,06:59:38.146,2,Auction,,72.7,8506,,,,,
160,ADSGn.DE,20151001,06:59:38.596,2,Auction,,72.7,8186,,,,,
161,ADSGn.DE,20151001,06:59:38.686,2,Auction,,72.7,8122,,,,,
162,ADSGn.DE,20151001,06:59:38.746,2,Auction,,72.7,8109,,,,,
163,ADSGn.DE,20151001,06:59:38.816,2,Auction,,72.7,8107,,,,,
164,ADSGn.DE,20151001,06:59:38.886,2,Auction,,72.7,8106,,,,,
165,ADSGn.DE,20151001,06:59:39.116,2,Auction,,72.7,8426,,,,,
166,ADSGn.DE,20151001,06:59:39.226,2,Auction,,72.7,8506,,,,,
167,ADSGn.DE,20151001,06:59:39.606,2,Auction,,72.7,8186,,,,,
